epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31.4123,0.49711,0.954,0.91887,0.69144,0.84451,0.78002,0.65728,0.55984,1.11172,0.92146,0.000848969,0.000848969,0.000848969
43,31.9356,0.50749,0.79678,0.91131,0.64533,0.8602,0.72314,0.60263,0.60703,1.24046,0.92393,0.000834822,0.000834822,0.000834822
44,32.5954,0.47995,0.79881,0.91473,0.6424,0.84875,0.67199,0.56278,0.55987,1.34342,0.91308,0.000820675,0.000820675,0.000820675
45,33.0807,0.4844,0.7795,0.90293,0.6424,0.84875,0.67199,0.56278,0.55987,1.34342,0.91308,0.000806528,0.000806528,0.000806528
46,33.6029,0.492,0.97402,0.89962,0.64856,0.87149,0.7096,0.60393,0.52124,1.34378,0.9009,0.00079238,0.00079238,0.00079238
47,34.1282,0.46979,0.80516,0.88614,0.61331,0.81874,0.64828,0.55042,0.56034,1.57593,0.91127,0.000778233,0.000778233,0.000778233
48,34.6702,0.4888,0.85573,0.9536,0.60568,0.84979,0.64142,0.54326,0.5274,1.56761,0.88816,0.000764086,0.000764086,0.000764086
49,35.186,0.50889,0.84181,0.97137,0.60568,0.84979,0.64142,0.54326,0.5274,1.56761,0.88816,0.000749939,0.000749939,0.000749939
50,35.7087,0.51297,0.79046,0.93087,0.60717,0.90334,0.65184,0.55597,0.52749,1.48455,0.87908,0.000735792,0.000735792,0.000735792
51,36.3582,0.47338,0.73139,0.91061,0.67493,0.784,0.75913,0.66723,0.50321,1.21598,0.87173,0.000721645,0.000721645,0.000721645
52,36.8801,0.46819,0.70806,0.88393,0.77464,0.81096,0.85838,0.7476,0.49325,0.98579,0.87082,0.000707498,0.000707498,0.000707498
53,37.3864,0.4702,0.74897,0.91811,0.77464,0.81096,0.85838,0.7476,0.49325,0.98579,0.87082,0.000693351,0.000693351,0.000693351
54,37.8973,0.4451,0.69361,0.90109,0.69272,0.8727,0.83429,0.72547,0.49508,0.98792,0.86715,0.000679204,0.000679204,0.000679204
55,38.4111,0.45814,0.66696,0.88433,0.64255,0.91476,0.776,0.67508,0.50082,1.05255,0.86196,0.000665057,0.000665057,0.000665057
56,38.9237,0.44857,0.93826,0.91233,0.65076,0.91586,0.76728,0.66312,0.50819,1.0281,0.85903,0.000650909,0.000650909,0.000650909
57,39.4074,0.45175,0.69129,0.89509,0.65076,0.91586,0.76728,0.66312,0.50819,1.0281,0.85903,0.000636762,0.000636762,0.000636762
58,40.0464,0.46098,0.67819,0.90278,0.64211,0.92291,0.70678,0.58779,0.53208,1.0937,0.87021,0.000622615,0.000622615,0.000622615
59,40.5608,0.44276,0.65398,0.88094,0.73114,0.81425,0.79185,0.68269,0.51368,0.99009,0.87095,0.000608468,0.000608468,0.000608468
60,41.0726,0.45425,0.65586,0.89156,0.79204,0.81223,0.84091,0.72626,0.49117,0.88913,0.86456,0.000594321,0.000594321,0.000594321
61,41.5755,0.43152,0.69284,0.9281,0.79204,0.81223,0.84091,0.72626,0.49117,0.88913,0.86456,0.000580174,0.000580174,0.000580174
